tid,toi,pl_mass,tfopwg_disp,st_tmag,st_tmagerr,ra,dec,pmra,pmraerr,pmdec,pmdecerr,pl_tranepoch,pl_tranepocherr,pl_orbper,pl_orbpererr,pl_trandurh,pl_trandurherr,pl_trandepmmag,pl_trandepmmagerr,pl_trandep,pl_trandeperr,pl_rade,pl_radeerr,pl_insol,pl_eqt,pl_snr,st_dist,st_disterr,st_teff,st_tefferr,st_logg,st_loggerr,st_rad,st_raderr,st_feh,st_feherr,st_mass,st_masserr
322307342,117.01,317,KP,11.7806,0.006,15.006077,-58.904724,22.522,0.049,7.594,0.041,2459063.656,0.001190335,3.5862962,0.000153009,3.371094297,0.07846477,6.238423,0.124633,5729.324686,114.78426,16.47476108,0.9191712,1787.595594,1658.39152,32.356964,603.955,10.2025,5704.8,124.8,3.84,0.08,2.004410028,0.105699,-0.25,0.0707107,1.02,0.124059
266980320,118.01,18.15,CP,9.179,0.006,349.559266,-56.903986,313.918,0.039,-20.177,0.043,2460175.749,0.0010809,6.0344667,0.0000059,1.89,0.109,1.956086,0.054389,1800,50.0931,4.44029,0.243975,64.2648,788,42,94.1719,0.2512,5586,187,4.36763,0.270247,1.05,0.05,,,0.97,0.120939
278683844,119.01,4.84,PC,9.2789,0.006,99.238421,-58.016153,51.497,0.042,-205.6,0.049,2460189.428,0.0008946,5.5411114,0.0000046,2.467,0.438,0.687489,0.012777,633,11.7683,2.04482,0.124447,258.843,1117,54,66.6187,0.1003,5332,184,4.56429,0.272717,0.82,0.05,,,0.86,0.102503
278683844,119.02,3.89,PC,9.2789,0.006,99.238421,-58.016153,51.497,0.042,-205.6,0.049,2460038.721,0.0021308,10.6917268,0.0000212,3.002,0.753,0.581024,0.021827,535,20.1029,1.79811,0.116694,42.2657,710,36,66.6187,0.1003,5332,184,4.56429,0.272717,0.82,0.05,,,0.86,0.102503
394137592,120.01,90.88,CP,7.1062,0.006,4.447163,-66.358928,64.763,0.049,-5.056,0.041,2458332.083,0.000707,11.535076,0.001035,8.555958,0.069027,2.597913,0.031416,2389.90616,28.935114,12.215808,1.480912,,,32.9,79.5702,0.17345,5479.3,57,3.77,0.08,2.48771,0.298399,-0.02,0.09,0.96,0.124471
207081058,121.01,317,APC,9.9358,0.006,331.867517,-41.815511,49.561,0.042,-9.678,0.057,2459074.329,0.01323,14.7741056,0.0005679,5.504,0.222,16.454618,0.221027,15041,203.553,15.3936,0.735585,123.522,928,80,182.169,1.0865,6053,193,4.3135,0.321619,1.23,0.06,,,1.14,0.149653
231702397,122.01,7.46,CP,13.084,0.007,332.948236,-58.946085,138.138,0.089,-235.81,0.076,2458329.119,0.000865972,5.078032535,7.64E-06,1.210035307,0.27777362,6.450076,0.465919,5923.128307,429.03534,2.634776336,0.68248564,8.174313865,431.253644,15.281929,62.118,0.2158,3318,64,4.9581,0.407256,0.334125012,0.0100409,,,0.315858,0.0202514
290131778,123.01,317,CP,7.87598,0.011,319.699588,-26.616374,23.236,0.157,-57.557,0.152,2460175.035,0.0012834,3.3088922,0.0000071,6.114,0.702,5.154262,2.462493,4736,2265.47,24.9862,3.98163,17074.7,3184,133,161.498,2.4235,6188,194,4.27166,2.00586,2.62,0.13,,,1.263,0.201024
29831208,124.01,317,APC,11.1311,0.006,66.58263,-67.806354,7.888,0.108,32.653,0.115,2460042.2,0.001268537,1.8428078,0.0000014,1.449,0.149,2.119253,0.005817,1950,5.35727,21.2705,,1687.83,1785,66,809.252,43.8985,5080,181,4.48159,2.00353,4.09,,,,,
52368076,125.01,7.65,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460206.744,0.0019795,4.6517186,0.0000083,2.709,0.921,1.06237,0.086613,978,79.7705,2.66889,0.203698,540.772,1343,26,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
52368076,125.02,7.42,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460202.05,0.0032682,9.1549418,0.0000249,2.457,0.341,1.196054,0.065582,1101,60.4017,2.62011,0.183373,42.2592,710,18,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
52368076,125.03,7.07,CP,10.1985,0.006,23.593425,-66.676349,-119.8,0.066,-122.953,0.08,2460181.147,0.0052731,19.9815709,0.0000896,2.724,0.716,0.987383,0.076907,909,70.8314,2.54717,0.192388,16.5853,562,10,111.059,0.442,5154,182,4.47072,0.28501,0.85,0.05,,,0.91,0.110203
70440470,126.01,124.3,KP,12.7923,0.006,339.489275,-35.154203,-9.326,0.041,-50.142,0.045,2458326.731,0.00042045,3.035397712,3.68E-06,2.796467795,0.059945308,17.566776,0.292171,16049.41204,269.06363,13.79115826,0.73552907,726.7569274,1324.241044,41.57743,573.027,11.688,5751,189,4.35036,,1.072239995,0.053588,,,1.09,0.142327
234523599,127.01,76,CP,14.1266,0.007,15.551889,-61.756133,78.858,0.087,-27.095,0.064,2458325.651,0.000243106,3.795517784,2.27E-06,2.019813485,0.031575486,58.298733,0.608638,52278.9941,560.4189,10.32616195,0.33078393,18.0832336,525.9431131,75.709694,140.225,0.86,3424,,4.438,,0.445371985,0.01356,,,0.44159,0.0205201
391949880,128.01,5.99,CP,7.9849,0.006,79.520938,-80.964384,-49.146,0.042,45.307,0.046,2460175.867,0.0012993,4.9404714,0.0000071,1.954,0.417,0.494122,0.018553,455,17.088,2.3216,0.116622,320.012,1178,43,68.4727,0.119,6086,193,4.26269,0.26143,1.13,0.05,,,1.13,0.151237
201248411,129.01,29.49,CP,9.9005,0.006,0.185606,-54.830823,-202.815,0.031,-71.518,0.029,2460205.647,0.000584,0.980972,5.00E-07,0.540503552,0.026238935,6.728913,0.065402,6178.392421,60.235405,5.916292333,0.7808294,719.5629045,1320.951709,167.35898,61.7856,0.0805,4486,175,4.49914,0.338797,0.764401019,0.0628191,,,0.7,0.0867846
263003176,130.01,5.9,CP,7.4371,0.006,12.546778,-83.743767,139.424,0.056,30.476,0.042,2458336.558,0.001111978,14.33921442,2.23E-05,4.606473855,0.35378832,0.426381,0.013446,392.6346872,12.384206,2.29632326,0.759807,118.7538488,841.9410276,32.31029,57.5846,0.0945,6295.7,56.481,4.438,,1.137420058,0.0451659,,,1.23,0.18151
235037761,131.01,317,APC,9.8567,0.006,353.828713,-64.561917,192.826,1.943,-31.069,1.785,2460173.339,0.0003826,6.2407826,0.0000018,1.513,0.164,6.658567,5.875359,6114,5396.79,16.0959,3.74619,41.7384,708,14,,,4174,172,4.34197,0.433401,0.9,0.19,,,,
89020549,132.01,12.19,CP,10.8061,0.006,338.399662,-43.436872,35.553,0.043,-53.055,0.054,2458326.903,0.000821728,2.109684883,6.64E-06,2.121082839,0.2234417,1.436908,0.062857,1322.565719,57.89131,3.517574786,0.9270777,644.2120132,1284.92256,18.639763,163.678,0.987,5673,188,4.55383,0.4189,0.940805972,0.0527538,,,0.91,0.113124
219338557,133.01,4.36,PC,9.9762,0.006,354.397374,-58.955078,196.638,0.043,-102.545,0.044,2458327.28,0.00151152,8.19953685,1.68E-05,2.116827745,0.28085628,0.981264,0.067498,903.3694431,62.166122,1.922621075,1.4381217,26.23531141,577.2199136,14.419014,48.6326,0.06345,4028,170,4.55902,0.201108,0.65053302,0.0558995,,,0.67,0.0852257
234994474,134.01,2.74,CP,9.22978,0.007,350.028592,-60.065729,-319.961,0.102,-127.781,0.115,2458326.034,0.000566393,1.40151826,4.81E-06,1.158306137,0.32550693,0.644852,0.04648,593.7540922,42.808456,1.461685313,1.8385029,149.3747543,891.6389885,20.450527,25.1496,0.0239,3794,69,4.67812,0.063226,0.597006977,0.01815,,,0.58564,0.0205272
267263253,135.01,317,CP,9.2205,0.006,7.328916,-76.304032,-2.97,0.037,6.961,0.031,2460174.637,0.000188,4.1269046,8.00E-07,4.405,0.016,11.823757,0.037289,10831,34.3442,17.0952,0.698036,1436.49,1715,389,196.852,0.774,6888,204,4.23416,0.355654,1.59,0.06,,,1.46,0.249445
410153553,136.01,2.92,CP,11.9238,0.008,340.496204,-69.172108,334.357,0.083,-726.974,0.086,2459036.324,0.000380855,0.462884405,1.52E-05,0.558821921,0.08828183,4.885837,0.188836,4489.911922,173.90933,1.35432368,0.18157507,64.71810404,723.3961549,25.038494,14.8846,0.0113,3043,63,5.09707,0.426694,0.188624,0.00571031,,,0.157909,0.0200668
176957796,137.01,3.59,FA,10.702,0.006,101.297491,-66.238326,18.528,0.048,-67.531,0.041,2459199.44,0.7578715,4.8173797,0.0057592,1.323,1.857,1.956086,0.090132,1800,83.0109,1.71137,0.714717,33.919,672,1000,88.8838,0.19925,4651,175,4.56937,0.2,0.69,0.07,,,0.74,0.0949972
277683130,138.01,47.73,APC,9.5739,0.006,328.926018,-61.673257,-23.8,2,2.8,1.9,2460175.142,0.0004297,6.1982658,0.0000022,1.912,0.236,4.23829,0.242455,3896,223.284,7.84585,,234.343,,93,128.488,,5722,189,4.35582,2.00367,1.11,,,,,
62483237,139.01,6.07,CP,9.3636,0.006,336.402414,-34.909713,26.43,0.071,-30.255,0.08,2458334.892,0.001381485,11.07085753,2.77E-05,2.193761658,0.31063417,1.249025,0.099718,1149.732803,91.839714,2.333764804,1.646811,22.42190662,554.9934842,12.694616,42.4061,0.0763,4356,173,4.53491,0.3608,0.700726986,0.0575277,,,0.69,0.0852195
140068425,140.01,108.61,APC,9.7828,0.006,330.301777,-49.060077,32.489,0.077,-15.438,0.075,2458327.4,0.00049934,2.281343183,6.35E-06,1.160193263,0.15420127,1.223947,0.15391,1126.661949,141.74628,12.73871943,22.251356,5760.972098,2221.998148,13.736684,337.105,5.7035,6174,194,4.27404,2.00568,2.35511,0.11186,,,1.2,0.177569
403224672,141.01,3.62,CP,7.384,0.006,338.983717,-59.864829,-108.388,0.05,-84.419,0.064,2460178.671,0.0016377,1.0082361,0.0000015,1.41,0.24,0.247576,0.013239,228,12.1939,1.7202,0.0924458,1882.94,1835,26,48.0883,0.0989,5795.29,44.5804,4.438,,1.13,0.05,,,1.04,0.129204
425934411,142.01,106.62,PC,14.7109,0.007,4.60586,-62.847875,6.11,0.068,5.18,0.059,2458325.486,0.000317069,0.8533534,2.79E-06,1.201873684,0.050757922,27.577917,1.143004,25080.32907,1052.1915,12.60071803,4.5996604,262.1025386,1026.213105,37.0026,320.237,4.469,3658,162,4.438,,0.608075976,0.0190377,,,0.594628,0.0208477
25375553,143.01,317,KP,9.77486,0.006,328.767739,-22.6126,12.885,0.101,-4.311,0.105,2460155.871,0.000339022,2.310968898,1.01E-06,3.43038207,0.018429179,7.440388,0.037297,6829.42365,34.351486,17.30428,0.83617586,4324.035454,2068.197749,189.12912,298.109,6.691,6371,197,3.94807,0.439603,1.954110026,0.0941057,,,1.336,0.218944
261136679,144.01,4.65,CP,5.1054,0.006,84.29928,-80.464604,311.187,0.127,1048.84,0.136,2460011.551,0.0028276,6.267832,0.0000229,2.789,0.237,0.348577,0.008096,321,7.45646,1.99779,0.0837751,203.434,1052,53,18.2702,0.0226,5950,,4.438,,1.15,0.05,0.0887839,0.00649598,1.1,0.140389
265612438,145.01,58.95,PC,11.6789,0.006,333.174716,-55.978803,-5.816,0.065,-4.917,0.063,2459060.642,0.00377,5.13002,0.00003,4.78,0.69,3.671647,0.002188,3376,2.01525,8.86428,0.524885,842.866,1501,22,438.421,8.695,5430.7,64.5,4.4,2,1.58,0.08,,,0.97,0.117664
355636844,146.01,119.48,FP,10.7124,0.006,358.302034,-56.013252,65.392,1.57,-27.177,1.636,2459080.903,0.00446,6.30556,0.00004,2.946,0.394,0.934135,0.00134,860,1.23429,,,,,17,739.632,639.884,,,,,,,,,,
220435095,147.01,317,FP,11.8999,0.006,73.641474,-57.513453,5.001,0.053,22.236,0.054,2460185.366,0.001245368,3.423100173,1.37E-06,2.437758261,0.026315102,9.424918,0.096907,8643.101645,89.250626,35.40840569,4.8527308,3086.112932,1900.958795,147.44981,820.079,16.5695,5620.9,134.5,3.6,0.08,2.612610102,0.158683,-0.773322,0.1,1,0.124679
393940766,148.01,43.22,CP,11.7835,0.006,338.320803,-38.159828,22.348,0.07,-25.839,0.072,2458327.329,0.00191,4.86709,0.00002,3.103,0.389,4.580598,0.003424,4210,3.15395,7.42915,0.444077,435.152,1272,14,395.257,9.729,5814.3,793.8,4.34,2,1.15,0.06,,,1.13,0.153555
260985861,149.01,317,PC,10.8727,0.01,76.635176,-80.768009,-7.91,0.16,22.707,0.195,2458597.94,0.000223898,3.339943176,1.33E-06,4.253470409,0.029700065,9.897027,0.083704,9074.078783,77.09109,,,522.4427099,1219.351912,117.076,380.81,9.2885,5095.6,1212.6,,,,,,,,
271893367,150.01,125.8,CP,10.9031,0.006,112.965421,-73.606036,-15.215,0.029,27.144,0.033,2459995.646,0.00142205,5.857407538,3.09E-06,5.854802929,0.02472023,7.069098,0.029277,6489.730235,26.96511,13.88927615,0.61632216,750.9220273,1335.11434,157.52177,336.267,1.916,5982.9,108.8,4.03,0.08,1.679870009,0.0741256,0.211186,0.046085,1.1,0.141051
382302241,151.01,12.01,FP,11.0264,0.006,83.349121,-58.745093,28.992,0.046,25.403,0.06,2458326.05,0.002,1.59782,0.00006,1.49,0.296,1.862211,0.004951,1713.69,4.56,3.59995,0.207255,955.676,1548,32,137.504,0.4555,5037.6,64.8,4.72,0.2,0.79,0.02,0.102405,0.1,0.87,0.107354
403287048,152.01,52.8,FP,11.3569,0.006,332.357482,-62.334453,-34.716,0.036,-109.526,0.047,2458327.923,0.00494,7.00776,0.00315,2.68,0.824,3.988702,0.019543,3666.99,18,8.1288,0.625284,302.511,1161,16,376.849,4.5095,6347,102.6,4.23,0.45,1.22,0.04,,,1.26,0.191402
231081369,153.01,104.03,APC,11.7349,0.006,68.073785,-66.916299,12.131,2.933,15.615,2.933,2460069.867,0.001806876,7.6316384,0.0000064,2.054,0.175,4.984094,0.007179,4580,6.61239,12.4425,,212.617,,45,436.225,,6338.3,291.5,4.16,0.2,1.49,,-0.26861,0.1,,
389525208,154.01,317,FP,10.0704,0.006,313.261454,-38.594923,-5.023,0.069,-10.868,0.059,2458329.361,0.00093,6.74657,0.00001,1.803,0.19,3.229435,0.002949,2970,2.71583,16.2785,0.919926,80.0277,833,31,402.734,8.073,5910.7,162.8,3.59,0.54,2.57,0.13,,,1.17,0.165402
129637892,155.01,24.36,PC,9.0284,0.006,321.11498,-37.850181,7.193,0.049,-6.279,0.051,2460168.814,0.0018141,5.4499753,0.0000079,4.319,0.361,1.056936,0.025955,973,23.9056,5.28759,0.246683,839.203,1499,26,187.131,1.351,6220.5,151.8,3.99,0.36,1.79,0.08,,,1.35,0.213853
220518305,156.01,80.03,FP,10.294,0.006,41.467598,-64.320687,29.82,0.042,4.632,0.046,2459128.644,0.00145,14.152,0.00003,3.599,0.23,4.133657,0.100766,3800,92.805,10.6751,1.45569,288.531,1148,39,234.138,1.3405,5823.9,138.2,4.6,0.16,1.28,0.06,0.19,0.12,1.21,0.177327
140691463,157.01,119.01,CP,12.0166,0.006,73.70144,-76.680606,11.712,0.035,-18.922,0.05,2458543.338,6.24E-05,2.084543418,2.93E-07,2.017038039,0.008200487,13.662544,0.047224,12504.82502,43.493595,13.4432705,0.7049504,1085.494259,1463.951309,371.14728,355.683,2.826,5638,133.9,4.35,0.08,1.106459975,0.0579346,,,1,0.132466
403136413,158.01,110.14,FP,11.2314,0.006,333.578718,-55.378981,-8.312,0.043,4.153,0.053,2458326.378,0.00219,2.51266,0.00045,2.411,0.173,3.033449,0.002942,2790.01,2.71,13.3617,0.731867,793.471,1478,22,601.367,11.559,5988,137.8,4.08,0.16,2.3,0.1,-0.03,0.12,1.15,0.158958
394657039,159.01,317,PC,10.5132,0.006,51.782268,-78.549831,11.616,0.057,1.959,0.043,2459382.233,0.0004284,3.7628372,0.0000032,3.956,0.019,12.404555,0.000206,11360,0.18932,17.33058674,0.7854587,1797.827207,1660.759467,297,347.593,2.519,6979.2,136.5,4.22,0.09,1.587460041,0.0717136,0.17,0.12,1.53,0.269377
253917293,160.01,48.6,FP,11.2901,0.007,337.500827,-31.924356,28.377,0.077,-27.285,0.059,2458327.376,0.00284,4.608,0.001,3.383,0.758,3.494326,0.008664,3213.22,7.98,7.99698,0.539026,724.001,1445,25,341.854,4.498,5935,141.5,4.29,0.65,1.28,0.06,,,1.12,0.145936
348770361,161.01,19.52,PC,11.4964,0.006,46.686553,-82.316371,14.9,2.9,4.7,2.8,2459388.787,0.0011539,2.7684331,0.0000055,4.223,0.117,3.517067,0.058942,3234.097111,54.28633,4.61938,,1330.16,,45,333.651,,5388,,,,0.98,,,,,
99493790,162.01,317,APC,11.6834,0.007,317.639908,-23.305817,50.863,0.096,-19.94,0.061,2459078.393,0.0003954,7.764691,0.0000068,3.185,0.056,26.965206,0.002985,24530,2.74943,15.6068,0.898621,86.3134,849,36,274.733,5.45,5404.7,43,4.4,2,0.99,0.06,,,0.971,0.125327
179317684,163.01,317,CP,10.8719,0.006,79.768253,-71.895527,7.14,0.067,16.374,0.078,2458544.67,9.98E-05,4.231117262,6.35E-07,4.353163543,0.013488421,7.912593,0.021517,7261.275936,19.817411,14.62607111,0.68786657,1489.112625,1584.351853,371.85303,411.719,8.01,6671,130.6,4.14,0.09,1.664019942,0.0781055,,,1.41,0.244606
79395355,164.01,52.86,FP,11.407,0.006,320.054292,-51.309972,18.03,0.053,-14.704,0.064,2458328.337,0.00377,7.31898,0.00224,3.771,0.886,4.143792,0.011075,3809.3,10.2,8.79673,0.51237,468.718,1296,17,360.131,4.613,5926,79.5,4.27,2.01,1.3,0.03,,,1.15,0.154532
350743714,165.01,118.4,FP,9.6686,0.007,88.886226,-57.290745,2.812,0.056,-39.619,0.049,2460203.585,0.0002239,7.7576444,0.0000019,3.483,0.133,8.116828,0.078276,7448,72.0924,13.3028,0.0820769,445.472,1279,348,210.311,1.1585,6038,54,3.96,0.11,1.45,,,,,
147203645,166.01,61.86,PC,10.7258,0.006,323.196086,-44.018036,29.817,0.047,-58.517,0.051,2459065.317,0.000511665,5.061131475,3.92E-06,1.556241419,0.055441506,5.743547,0.285125,5276.03493,262.57532,9.148430171,1.1914712,239.1418795,1002.960107,39.23764,172.157,0.9805,5254,152.9,4.45,0.36,1.002169967,0.0537965,,,0.94,0.118538
149990841,167.01,59.25,PC,11.6349,0.006,90.662482,-64.819484,-3.606,2.124,14.96,2.074,2459387.894,0.0003729,4.4531846,0.0000027,1.687,0.13,6.435737,0.001116,5910,1.0276,,,184.842,1027,88,310.951,158.505,5766,158.9,,,,,,,,
369457671,168.01,11.46,PC,11.5147,0.006,311.64359,-37.904399,14.801,0.076,-11.655,0.048,2458326.493,0.00197,2.31446,0.00001,1.347,0.367,1.292795,0.004951,1190,4.56033,3.40668,0.294554,176.692,1015,10,130.977,0.8125,4801.5,126.2,,,0.73,0.05,,,0.74,0.0916005
183120439,169.01,85.34,CP,11.788,0.006,16.778688,-75.198945,20.225,0.05,-15.607,0.048,2459062.718,0.001265776,2.255445922,4.46E-06,1.667860405,0.04603705,5.751925,0.15637,5283.71039,144.01193,11.05352928,0.5730389,1472.009522,1579.782885,34.75056,407.84,4.1945,5817,126.7,4.23,0.07,1.296609998,0.0621181,,,1.05,0.12634
394698182,170.01,126.76,PC,11.9692,0.006,54.989595,-83.088518,29.232,0.057,14.991,0.061,2459387.009,0.0003683,3.7115129,0.0000022,2.685,0.064,13.415381,0.001041,12280,0.958993,13.941,0.66669,399.006,1245,156,428.915,5.21,5973,131.5,4.31,0.08,1.22,0.06,,,1.1,0.144306
309257814,171.01,100.78,PC,11.6626,0.006,124.269428,-63.213403,-13.511,0.045,19.48,0.037,2458570.408,0.000178133,1.238601035,1.38E-06,1.904891344,0.03809019,13.291758,0.276437,12167.53092,254.57571,12.18975625,0.7835738,1709.456933,1639.963909,64.7628,256.345,1.463,5237,183,4.2427,0.42297,1.107229948,0.0651181,,,0.88,0.109325
309257814,171.02,45.74,FP,11.6626,0.006,124.269428,-63.213403,-13.511,0.045,19.48,0.037,2458569.773,0.000379556,1.813576726,0.000191875,1.07533165,0.109361865,4.532931,0.262434,4166.280204,241.68144,7.660458043,0.9441151,2590.391481,1819.537876,23.709396,256.345,1.463,5237,183,4.2427,0.42297,1.107229948,0.0651181,,,0.88,0.109325
29857954,172.01,69.55,CP,10.7379,0.006,316.631879,-26.692865,-4.711,0.094,-54.25,0.069,2458326.922,0.00173,9.47686,0.00004,4.392,0.243,3.240324,0.001167,2980,1.07525,9.80856,0.54867,161.969,993,14,342.831,7.221,5801.8,235.6,4.32,2,1.79,0.09,,,1.031,0.12794
270341214,173.01,97.94,PC,8.8784,0.006,33.458853,-80.582711,22.849,0.057,19.459,0.05,2458333.41,0.00037007,29.75374514,1.07E-05,8.078044504,0.031075664,6.917315,0.05193,6350.829941,47.828358,11.98689764,0.5028346,86.56256309,777.9510591,128.69139,152.023,0.6405,6409,197,4.20097,0.320295,1.468629956,0.0610553,,,1.41,0.233008
270341214,173.02,7.44,PC,8.8784,0.006,33.458853,-80.582711,22.849,0.057,19.459,0.05,2458329.296,0.00200044,9.170226477,2.34E-05,5.685584191,0.71033275,0.332268,0.027282,305.9835677,25.12709,2.631775429,1.4249274,415.7946307,1151.70027,10.224759,152.023,0.6405,6409,197,4.20097,0.320295,1.468629956,0.0610553,,,1.41,0.233008
425997655,174.01,4.18,CP,8.7513,0.006,55.459031,-62.767267,-102.571,0.05,-43.917,0.059,2460180.378,0.0017731,17.6671687,0.0000292,2.525,0.14,0.927615,0.037816,854,34.8289,1.87042,0.12665,7.60884,462,26,39.0341,0.04005,4813,111,4.38,0.21,0.69,0.04,-0.19,0.08,0.78,0.0888069
